,Postcode,Neighbourhood,Borough,Postal Code,Latitude,Longitude
49,M4V,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",Central Toronto,M4V,43.68641229999999,-79.4000493
50,M4W,Rosedale,Downtown Toronto,M4W,43.6795626,-79.37752940000001
51,M4X,"Cabbagetown, St. James Town",Downtown Toronto,M4X,43.667967,-79.3676753
52,M4Y,Church and Wellesley,Downtown Toronto,M4Y,43.6658599,-79.38315990000001
53,M5A,"Harbourfront, Regent Park",Downtown Toronto,M5A,43.6542599,-79.3606359
54,M5B,"Ryerson, Garden District",Downtown Toronto,M5B,43.6571618,-79.37893709999999
55,M5C,St. James Town,Downtown Toronto,M5C,43.6514939,-79.3754179
56,M5E,Berczy Park,Downtown Toronto,M5E,43.644770799999996,-79.3733064
57,M5G,Central Bay Street,Downtown Toronto,M5G,43.6579524,-79.3873826
58,M5H,"Adelaide, King, Richmond",Downtown Toronto,M5H,43.65057120000001,-79.3845675
59,M5J,"Harbourfront East, Toronto Islands, Union Station",Downtown Toronto,M5J,43.6408157,-79.38175229999999
60,M5K,"Design Exchange, Toronto Dominion Centre",Downtown Toronto,M5K,43.6471768,-79.38157640000001
61,M5L,"Commerce Court, Victoria Hotel",Downtown Toronto,M5L,43.6481985,-79.37981690000001
62,M5M,"Bedford Park, Lawrence Manor East",North York,M5M,43.7332825,-79.4197497
63,M5N,Roselawn,Central Toronto,M5N,43.7116948,-79.41693559999999
64,M5P,"Forest Hill North, Forest Hill West",Central Toronto,M5P,43.6969476,-79.41130720000001
65,M5R,"The Annex, North Midtown, Yorkville",Central Toronto,M5R,43.6727097,-79.40567840000001
66,M5S,"Harbord, University of Toronto",Downtown Toronto,M5S,43.6626956,-79.4000493
67,M5T,"Chinatown, Grange Park, Kensington Market",Downtown Toronto,M5T,43.6532057,-79.4000493
68,M5V,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara",Downtown Toronto,M5V,43.6289467,-79.3944199
69,M5W,Stn A PO Boxes 25 The Esplanade,Downtown Toronto,M5W,43.6464352,-79.37484599999999
70,M5X,"First Canadian Place, Underground city",Downtown Toronto,M5X,43.6484292,-79.3822802
71,M6A,"Lawrence Heights, Lawrence Manor",North York,M6A,43.718517999999996,-79.46476329999999
72,M6B,Glencairn,North York,M6B,43.709577,-79.44507259999999
73,M6C,Humewood-Cedarvale,York,M6C,43.6937813,-79.42819140000002
74,M6E,Caledonia-Fairbanks,York,M6E,43.6890256,-79.453512
75,M6G,Christie,Downtown Toronto,M6G,43.669542,-79.4225637
76,M6H,"Dovercourt Village, Dufferin",West Toronto,M6H,43.66900510000001,-79.4422593
77,M6J,"Little Portugal, Trinity",West Toronto,M6J,43.647926700000006,-79.4197497
78,M6K,"Brockton, Exhibition Place, Parkdale Village",West Toronto,M6K,43.6368472,-79.42819140000002
79,M6L,"Downsview, North Park, Upwood Park",North York,M6L,43.713756200000006,-79.4900738
80,M6M,"Del Ray, Keelesdale, Mount Dennis, Silverthorn",York,M6M,43.6911158,-79.47601329999999
81,M6N,"The Junction North, Runnymede",York,M6N,43.67318529999999,-79.48726190000001
82,M6P,"High Park, The Junction South",West Toronto,M6P,43.6616083,-79.46476329999999
83,M6R,"Parkdale, Roncesvalles",West Toronto,M6R,43.6489597,-79.456325
84,M6S,"Runnymede, Swansea",West Toronto,M6S,43.6515706,-79.4844499
85,M7A,Queen's Park,Queen's Park,M7A,43.6623015,-79.3894938
86,M7R,Canada Post Gateway Processing Centre,Mississauga,M7R,43.6369656,-79.61581899999999
87,M7Y,Business Reply Mail Processing Centre 969 Eastern,East Toronto,M7Y,43.6627439,-79.321558
88,M8V,"Humber Bay Shores, Mimico South, New Toronto",Etobicoke,M8V,43.6056466,-79.50132070000001
89,M8W,"Alderwood, Long Branch",Etobicoke,M8W,43.60241370000001,-79.54348409999999
90,M8X,"The Kingsway, Montgomery Road, Old Mill North",Etobicoke,M8X,43.653653600000005,-79.5069436
91,M8Y,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea",Etobicoke,M8Y,43.6362579,-79.49850909999999
92,M8Z,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor",Etobicoke,M8Z,43.6288408,-79.52099940000001
93,M9A,Islington Avenue,Etobicoke,M9A,43.6678556,-79.53224240000002
94,M9B,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park",Etobicoke,M9B,43.6509432,-79.55472440000001
95,M9C,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe",Etobicoke,M9C,43.6435152,-79.57720079999999
96,M9L,Humber Summit,North York,M9L,43.7563033,-79.56596329999999
97,M9M,"Emery, Humberlea",North York,M9M,43.7247659,-79.53224240000002
98,M9N,Weston,York,M9N,43.706876,-79.51818840000001
99,M9P,Westmount,Etobicoke,M9P,43.696319,-79.53224240000002
100,M9R,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",Etobicoke,M9R,43.6889054,-79.55472440000001
101,M9V,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown",Etobicoke,M9V,43.739416399999996,-79.5884369
102,M9W,Northwest,Etobicoke,M9W,43.706748299999994,-79.5940544
